,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
102,"frozenset({'Nylon Washer M3', 'Lacing thread'})",frozenset({'SS Square Nut; M3'}),0.13846153846153847,0.1076923076923077,0.1076923076923077,0.7777777777777778,7.222222222222222,1.0,0.0927810650887574,4.015384615384615,1.0,0.7777777777777778,0.7509578544061304,0.8888888888888888
103,frozenset({'SS Square Nut; M3'}),"frozenset({'Nylon Washer M3', 'Lacing thread'})",0.1076923076923077,0.13846153846153847,0.1076923076923077,1.0,7.222222222222221,1.0,0.0927810650887574,inf,0.9655172413793105,0.7777777777777778,1.0,0.8888888888888888
101,"frozenset({'SS Square Nut; M3', 'Nylon Washer M3'})",frozenset({'Lacing thread'}),0.1076923076923077,0.15384615384615385,0.1076923076923077,1.0,6.5,1.0,0.09112426035502959,inf,0.9482758620689656,0.7,1.0,0.85
114,"frozenset({'XT-60H Male Connectors', 'Nylon Washer M3'})",frozenset({'SS Square Nut M4'}),0.1076923076923077,0.15384615384615385,0.1076923076923077,1.0,6.5,1.0,0.09112426035502959,inf,0.9482758620689656,0.7,1.0,0.85
30,frozenset({'SS Square Nut; M3'}),frozenset({'Lacing thread'}),0.1076923076923077,0.15384615384615385,0.1076923076923077,1.0,6.5,1.0,0.09112426035502959,inf,0.9482758620689656,0.7,1.0,0.85
76,"frozenset({'Masking tape 1 inch', 'Nylon Washer M3'})",frozenset({'Lacing thread'}),0.1076923076923077,0.15384615384615385,0.1076923076923077,1.0,6.5,1.0,0.09112426035502959,inf,0.9482758620689656,0.7,1.0,0.85
104,frozenset({'Lacing thread'}),"frozenset({'SS Square Nut; M3', 'Nylon Washer M3'})",0.15384615384615385,0.1076923076923077,0.1076923076923077,0.7,6.499999999999999,1.0,0.09112426035502959,2.9743589743589736,1.0,0.7,0.6637931034482758,0.85
81,frozenset({'Lacing thread'}),"frozenset({'Masking tape 1 inch', 'Nylon Washer M3'})",0.15384615384615385,0.1076923076923077,0.1076923076923077,0.7,6.499999999999999,1.0,0.09112426035502959,2.9743589743589736,1.0,0.7,0.6637931034482758,0.85
31,frozenset({'Lacing thread'}),frozenset({'SS Square Nut; M3'}),0.15384615384615385,0.1076923076923077,0.1076923076923077,0.7,6.499999999999999,1.0,0.09112426035502959,2.9743589743589736,1.0,0.7,0.6637931034482758,0.85
115,frozenset({'SS Square Nut M4'}),"frozenset({'XT-60H Male Connectors', 'Nylon Washer M3'})",0.15384615384615385,0.1076923076923077,0.1076923076923077,0.7,6.499999999999999,1.0,0.09112426035502959,2.9743589743589736,1.0,0.7,0.6637931034482758,0.85
113,"frozenset({'SS Square Nut M4', 'Nylon Washer M3'})",frozenset({'XT-60H Male Connectors'}),0.12307692307692308,0.13846153846153847,0.1076923076923077,0.875,6.319444444444444,1.0,0.0906508875739645,6.892307692307693,0.9598997493734336,0.7,0.8549107142857143,0.8263888888888888
116,frozenset({'XT-60H Male Connectors'}),"frozenset({'SS Square Nut M4', 'Nylon Washer M3'})",0.13846153846153847,0.12307692307692308,0.1076923076923077,0.7777777777777778,6.319444444444444,1.0,0.0906508875739645,3.9461538461538463,0.9770408163265306,0.7,0.746588693957115,0.8263888888888888
