Billed_Qty,Product_MRP,Offtake_unit,Product_Cost,Profit_Margin,Category
300,694.19,15,502.46,3332.14,A
4,1056,1,200,3328,A
8,729.06,1,380.56,2422.6624,A
10,1450,1,1160,2320,A
2,2506.8,1,1339.29,2013.5904,A
720,83.75,10,50.51,1956.8736,A
1,2730.4,1,1000,1680.4,A
1,2730.4,1,1000,1680.4,A
2,1056,1,200,1664,A
20,345,1,234.11,1655.936,A
40,531,5,300.26,1557.6704,A
3,2140,1,1378.31,1540.7826,A
1,2465.1,1,950,1467.6,A
300,288.5,15,195.77,1384.752,A
8,427.79,1,256.5,1267.72,A
16,329,1,223.25,1263.36,A
4,2575,2,1747.33,1235.9808,A
4,2575,2,1747.33,1235.9808,A
4,2575,2,1747.33,1235.9808,A
285,269,15,182.53,1226.7616,A
1,1760,1,520,1177.6,A
1,1760,1,520,1177.6,A
1,1760,1,520,1177.6,A
1,1760,1,520,1177.6,A
60,771,10,523.17,1110.2976,A
44,105,1,71.25,1108.8,A
1,2506.8,1,1339.29,1006.7952,A
1,2506.8,1,1339.29,1006.7952,A
1,2506.8,1,1339.29,1006.7952,A
1,2506.8,1,1339.29,1006.7952,A
1,2506.8,1,1339.29,1006.7952,A
1,2506.8,1,1339.29,1006.7952,A
1,2506.8,1,1339.29,1006.7952,A
4,810,1,500,1000,A
1,3550,1,2277.79,998.8752,A
4,1015,1,688.75,974.4,A
300,192.2,15,130.42,922.592,A
4,299,1,58.8,918.464,A
1,1999,1,931,900.42,A
1,1930,1,882,889.24,A
3,1181,1,801.39,850.3296,A
180,194,10,131.64,838.1376,A
15,140,1,75.46,832.272,A
1,1056,1,200,832,A
1,1056,1,200,832,A
2,1710.5,1,1101.62,821.1768,A
5,682.44,1,463.08,818.952,A
20,63,1,20,812,A
1,1760,1,850,808,A
140,243.3,10,166.83,790.3056,A
30,1061.89,10,720.57,764.5548,A
1,3280,1,2254,755.52,A
1,3280,1,2254,755.52,A
1,3280,1,2254,755.52,A
60,622,10,443.18,753.8304,A
3,810,1,500,750,A
1,3045,1,2066.25,730.8,A
1,3045,1,2066.25,730.8,A
200,151,10,102.47,724.672,A
15,1815,15,924.06,724.6092,A
120,300,10,214.29,719.9424,A
40,748,10,507.58,718.0416,A
1,999,1,252.35,716.368,A
12,102,1,38.22,710.3232,A
72,243,6,164.89,699.8784,A
20,600,10,225.4,695.104,A
20,600,10,225.4,695.104,A
20,600,10,225.4,695.104,A
20,600,10,225.4,695.104,A
20,600,10,225.4,695.104,A
20,600,10,225.4,695.104,A
120,239,10,162.17,688.4352,A
4,851.84,1,647.4,688.28,A
1,3430,1,2450,686,A
1,3430,1,2450,686,A
1,3430,1,2450,686,A
1,849,1,147,684.36,A
1,849,1,147,684.36,A
1,849,1,147,684.36,A
70,399.25,10,270.92,670.7372,A
200,137.6,10,93.38,660.288,A
300,137.4,15,93.23,659.648,A
90,365,10,247.46,656.9748,A
1,1545,1,800,649,A
1,1920,1,1078,647.96,A
1,3280,1,2352,645.76,A
1,3280,1,2352,645.76,A
1,3280,1,2352,645.76,A
1,3280,1,2352,645.76,A
1,3280,1,2352,645.76,A
1,3280,1,2352,645.76,A
1,3280,1,2352,645.76,A
4,427.79,1,256.5,633.86,A
8,660,2,447.87,633.5424,A
90,190,10,101.97,627.0786,A
60,1210,28,821.08,622.2651429,A
60,1210,28,821.08,622.2651429,A
1,1500,1,784,621.92,A
1,1500,1,784,621.92,A
1,1500,1,784,621.92,A
1,1500,1,784,621.92,A
1,773,1,137.2,619.336,A
1,773,1,137.2,619.336,A
2,2575,2,1747.33,617.9904,A
4,641.91,1,464.55,616.53,A
20,497,10,164.24,606.3936,A
2,729.06,1,380.56,605.6656,A
130,191.8,10,130.15,598.416,A
60,415,10,281.61,597.5808,A
1,1059,1,413.78,595.5664,A
1,1059,1,413.78,595.5664,A
1,1059,1,413.78,595.5664,A
1,1059,1,413.78,595.5664,A
1,1059,1,413.78,595.5664,A
1,1059,1,413.78,595.5664,A
1,1059,1,413.78,595.5664,A
1,1059,1,413.78,595.5664,A
1,1059,1,413.78,595.5664,A
2,1375,1,965.87,586.4512,A
2,1375,1,966.23,585.6448,A
1,1545,1,857.5,584.6,A
56,1210,28,821.08,580.7808,A
60,402.15,10,272.89,579.0792,A
2,1181,1,801.39,566.8864,A
4,250,1,103.5,565.3,A
